epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,349.675,1.44245,3.01175,1.29073,0.99623,0.11501,0.67922,0.43328,1.10482,3.12204,1.02448,0.000252618,0.000252618,0.000252618
2,715.01,1.18611,1.12979,1.12115,0.96104,0.8525,0.86184,0.40828,1.66382,1.26849,1.29249,0.000458565,0.000458565,0.000458565
3,1066.81,1.13936,0.89144,1.09461,0.97395,0.8784,0.86874,0.61056,0.98822,0.74699,0.96372,0.000613759,0.000613759,0.000613759
4,1403.95,1.08517,0.7977,1.06782,0.97345,0.87621,0.8658,0.6777,0.79437,0.65856,0.91087,0.000540607,0.000540607,0.000540607
5,1735.94,1.02972,0.73155,1.04128,0.97388,0.87937,0.8671,0.5869,1.08212,0.71424,1.00723,0.000464476,0.000464476,0.000464476
6,2071.83,0.96434,0.66483,1.01393,0.97581,0.88296,0.86743,0.66536,0.8302,0.59307,0.91553,0.000388345,0.000388345,0.000388345
7,2411.04,0.94276,0.62852,1.00327,0.97715,0.88317,0.86827,0.66809,0.80616,0.57046,0.91139,0.000312214,0.000312214,0.000312214
8,2744.81,0.90778,0.60703,0.98619,0.97667,0.88183,0.86509,0.67157,0.79934,0.53618,0.90623,0.000236083,0.000236083,0.000236083
9,3092.04,0.90509,0.58693,0.97927,0.97769,0.88329,0.86524,0.70198,0.70706,0.50483,0.8819,0.000159952,0.000159952,0.000159952
10,3412.81,0.86688,0.56651,0.9709,0.97782,0.88306,0.86504,0.68695,0.75504,0.50284,0.89339,8.3821e-05,8.3821e-05,8.3821e-05
