epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.6281,1.04305,3.74108,1.85309,0.01284,1,0.60897,0.53217,0.14504,3.75397,0.22872,0.0001625,0.0001625,0.0001625
2,156.509,0.215,1.869,1.01664,0.01742,1,0.43901,0.30285,0.19312,3.7797,0.2765,0.000304088,0.000304088,0.000304088
3,225.862,0.16866,1.31433,0.98791,0.02667,1,0.47284,0.36047,0.11736,3.79105,0.17369,0.000411025,0.000411025,0.000411025
4,298.301,0.14483,1.12549,0.97131,0.04427,1,0.41004,0.21463,0.20684,3.90454,0.25011,0.000483313,0.000483313,0.000483313
5,362.423,0.13973,1.05081,0.98174,0.0243,1,0.45819,0.31971,0.18371,3.99747,0.22929,0.00052095,0.00052095,0.00052095
6,427.228,0.15615,0.98732,0.97123,0.03384,1,0.41468,0.35522,0.14765,3.98059,0.21143,0.000523937,0.000523937,0.000523937
7,499.498,0.13035,0.97195,0.93915,0.03742,1,0.48282,0.38866,0.18104,4.11353,0.2397,0.000492275,0.000492275,0.000492275
8,591.793,0.11584,0.89864,0.92935,0.02171,1,0.49143,0.48482,0.14167,4.67237,0.23411,0.00038375,0.00038375,0.00038375
9,667.571,0.09802,0.8568,0.93108,0.01838,1,0.40234,0.40046,0.21187,4.93582,0.30475,0.00026,0.00026,0.00026
10,739.092,0.08808,0.83595,0.91556,0.0182,1,0.29969,0.28794,0.19677,5.60051,0.28198,0.00013625,0.00013625,0.00013625
